,,Honghuayuan,,Guanwu,,Fengxiangqiao,,Qinglongzui,,Miaolinwan West,,Bainidacun-Sanhuaicun,,Lanmaxiang South,,Lujiaozhen,,Yangliugou,,Miaolingwan Central,,Wangjiawan Riverside,,Gaojiabian,,Ludiping,,Xiaotan,,Fenxiang,,Guantangyuan,,Wangjiawan North,,Shichang,,Wangjiawan South,,,TaxonMixedID,FossilGroup
,,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,,NaN,Graptolite
60,Paraclimacograptus innotatus,15.03,15.28,,,,,1.3,5.32,,,,,,,,,,,,,,,1.38,4.78,,,3.55,4,,,1.6,6.75,0.28,0.37,3.4,7.05,0.81,0.91,,NaN,Graptolite
61,Parakidograptus acuminatus,15.03,15.73,,,,,,,,,,,,,2.4,4.85,,,,,,,2.02,3.18,0.82,1.5,0,3.15,0.12,0.67,,,0.11,0.61,5.4,7.05,0.56,1,,NaN,Graptolite
62,Pseudoclimacograptus (Metaclimacograptus) robustus,15.03,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
63,Orthograptus lingulatus,15.28,15.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
64,Atavograptus atavus,15.73,17,1.33,1.43,,,,,7.19,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
65,Atavograptus strachani,15.93,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
66,Atavograptus tenellus,15.93,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
67,Glyptograptus tangshanensis,15.93,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
68,Lagarograptus acinaces,15.93,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
69,Normalograptus lunata,15.93,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
70,Normalograptus minutus,16.33,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
71,Glyptograptus tamariscus linearis,16.74,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
72,Monoclimacis lunata,16.74,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
73,Pararetiograptus uniformis,,,0.18,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
74,Tangyagraptus grandis,,,0.18,0.95,,,,,,,,,,,,,,,,,6.56,6.7,,,,,,,,,,,,,,,,,,NaN,Graptolite
